"Date","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment"
"05-02-2010","1643690.9",0,"42.31",2572,"211.0963582",8106
"12-02-2010","1641957.44",1,"38.51",2548,"211.2421698",8106
"19-02-2010","1611968.17",0,"39.93",2514,"211.2891429",8106
"26-02-2010","1409727.59",0,"46.63",2561,"211.3196429",8106
"05-03-2010","1554806.68",0,"46.5",2625,"211.3501429",8106
"12-03-2010","1439541.59",0,"57.79",2667,"211.3806429",8106
"19-03-2010","1472515.79",0,"54.58","2.72","211.215635",8106
"26-03-2010","1404429.92",0,"51.45",2732,"211.0180424",8106
"02-04-2010","1594968.28",0,"62.27",2719,"210.8204499",7808
"09-04-2010","1545418.53",0,"65.86","2.77","210.6228574",7808
"16-04-2010","1466058.28",0,"66.32",2808,"210.4887",7808
"23-04-2010","1391256.12",0,"64.84",2795,"210.4391228",7808
"30-04-2010","1425100.71",0,"67.41","2.78","210.3895456",7808
"07-05-2010","1603955.12",0,"72.55",2835,"210.3399684",7808
"14-05-2010","1494251.5",0,"74.78",2854,"210.3374261",7808
"21-05-2010","1399662.07",0,"76.44",2826,"210.6170934",7808
"28-05-2010","1432069.95",0,"80.44",2759,"210.8967606",7808
"04-06-2010","1615524.71",0,"80.69",2705,"211.1764278",7808
"11-06-2010","1542561.09",0,"80.43",2668,"211.4560951",7808
"18-06-2010","1503284.06",0,"84.11",2637,"211.4537719",7808
"25-06-2010","1422711.6",0,"84.34",2653,"211.3386526",7808
"02-07-2010","1492418.14",0,"80.91",2669,"211.2235333",7787
"09-07-2010","1546074.18",0,"80.48",2642,"211.108414",7787
"16-07-2010","1448938.92",0,"83.15",2623,"211.1003854",7787
"23-07-2010","1385065.2",0,"83.36",2608,"211.2351443",7787
"30-07-2010","1371986.6",0,"81.84","2.64","211.3699032",7787
"06-08-2010","1605491.78",0,"87.16",2627,"211.5046621",7787
"13-08-2010","1508237.76",0,87,2692,"211.6394211",7787
"20-08-2010","1513080.49",0,"86.65",2664,"211.6033633",7787
"27-08-2010","1449142.92",0,"85.22",2619,"211.5673056",7787
"03-09-2010","1540163.53",0,"81.21",2577,"211.5312479",7787
"10-09-2010","1507460.69",1,"78.69",2565,"211.4951902",7787
"17-09-2010","1430378.67",0,"82.11",2582,"211.5224596",7787
"24-09-2010","1351791.03",0,"80.94",2624,"211.5972246",7787
"01-10-2010","1453329.5",0,"71.89",2603,"211.6719895",7838
"08-10-2010","1508239.93",0,"63.93",2633,"211.7467544",7838
"15-10-2010","1459409.1",0,"67.18","2.72","211.8137436",7838
"22-10-2010",1345454,0,"69.86",2725,"211.8612937",7838
"29-10-2010","1384209.22",0,"69.64",2716,"211.9088438",7838
"05-11-2010","1551659.28",0,"58.74",2689,"211.9563939",7838
"12-11-2010","1494479.49",0,"59.61",2728,"212.003944",7838
"19-11-2010","1483784.18",0,"51.41",2771,"211.8896737",7838
"26-11-2010","1955624.11",1,"64.52",2735,"211.7484333",7838
"03-12-2010","1548033.78",0,"49.27",2708,"211.607193",7838
